Name;YT Scope Project;
File;E:\hawino\Measurements\ParameterEstimation\parameter_in_y_fb8.csv;
Starttime of export;133161975881726000;Donnerstag, 22. Dezember 2022;16:46:28.172
Endtime of export;133161976284495671;Donnerstag, 22. Dezember 2022;16:47:08.449


Name;vtheta;vtheta_ref;vx;vx_ref;vy;vy_ref
4100;-0.11827222222222218;0;-16.77447905860268;0;249.44775;200
4110;-0.16674444444444447;0;-24.028307840701142;0;260.96475000000004;200
4120;-0.28695555555555557;0;-25.841765036225752;0;265.15275;200
4130;-0.23266666666666663;0;-9.9740145753853753;0;241.857;200
4140;-0.23266666666666669;0;1.3600928966434611;0;264.62925;200
4150;-0.2559333333333334;0;-18.5879362541273;0;274.05225;200
4160;-0.19388888888888894;0;-23.121579242938829;0;262.01175;200
4170;-0.24817777777777778;0;-5.4403715865738445;0;263.3205;200
4180;-0.24236111111111108;0;7.70719308097961;0;249.97125000000003;200
4190;-0.21521666666666664;0;1.8134571955246093;0;241.857;200
4200;-0.16286666666666663;0;-9.9740145753853753;0;266.98499999999996;200
4210;-0.14929444444444431;0;-8.1605573798607658;0;261.75;200
4220;-0.19776666666666659;0;12.240836069791149;0;248.92425;200
4230;-0.24430000000000002;0;12.694200368672298;0;238.716;200
4240;-0.16092777777777767;0;-6.8004644832173051;0;243.68925;200
4250;-0.10082222222222219;0;-10.880743173147689;0;239.2395;200
4260;-0.10276111111111112;0;8.1605573798607658;0;235.0515;200
4270;-0.20746111111111115;0;21.761486346295378;0;230.34;200
4280;-0.18613333333333337;0;10.427378874266532;0;233.21925000000002;200
4290;-0.031022222222222239;0;-8.6139216787419226;0;210.18525;200
4300;0.065922222222222243;0;-4.9870072876926876;0;198.14475000000002;200
4310;-0.13572222222222216;0;15.867750460840377;0;229.03125;200
4320;-0.22491111111111112;0;19.041300553008455;0;238.19250000000002;200
