Name;XY Scope Project;
File;E:\hawino\Measurements\Trajectory\cyclicTrajectory.csv;
Starttime of export;133244135421787000;Montag, 27. März 2023;19:59:02.178
Endtime of export;133244136106087000;Montag, 27. März 2023;20:00:10.608


Name;xCam, yCam X;xCam, yCam Y;xObs, yObs X;xObs, yObs Y;xRef, yRef X;xRef, yRef Y;thetaObs (1);thetaRef;thetaCam;thetaObs
SampleTime[ms];10;10;10;10;10;10;10;10;10;10
SymbolBased;True;True;True;True;True;True;True;True;True;True
SymbolName;ControlPRG.observer.xCameraPose.x;ControlPRG.observer.xCameraPose.y;ControlPRG.observer.yObserverdPose.x;ControlPRG.observer.yObserverdPose.y;ControlPRG.trajectory.referencePose.x;ControlPRG.trajectory.referencePose.y;ControlPRG.observer.yObserverdPose.theta;ControlPRG.trajectory.referencePose.theta;ControlPRG.observer.xCameraPose.theta;ControlPRG.observer.yObserverdPose.theta
NetID;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1
Port;851;851;851;851;851;851;851;851;851;851

1090;1696.8955078125;1690.625;1666.1665239341787;1817.6740734587029;1650;2014.817099541764;1.4058437202607648;1.1884987581851265;1.3897227048873901;1.4058437202607648
1100;1696.8955078125;1690.625;1666.61681803965;1823.3776857092294;1650;2014.817099541764;1.3990822566716941;1.1884987581851265;1.3897227048873901;1.3990822566716941
1110;1696.8955078125;1690.625;1666.8969190719993;1828.8533235704961;1650;2039.8170995417645;1.3897619334632563;1.1439268085783838;1.3897227048873901;1.3897619334632563
1120;1696.8955078125;1690.625;1666.7719169474763;1833.974512728468;1650;2039.8170995417645;1.3791079065976803;1.1439268085783838;1.3897227048873901;1.3791079065976803
1130;1699.270751953125;1710.6103515625;1666.5717622031475;1839.5632726886936;1650;2039.8170995417645;1.3727421537719062;1.1439268085783838;1.3581603765487671;1.3727421537719062
1140;1699.270751953125;1710.6103515625;1666.9050779523382;1845.5991091272201;1650;2039.8170995417645;1.36784547917555;1.1439268085783838;1.3581603765487671;1.36784547917555
1150;1699.270751953125;1710.6103515625;1667.3331355099876;1851.2815230890551;1650;2039.8170995417645;1.3586782433921689;1.1439268085783838;1.3581603765487671;1.3586782433921689
1160;1699.270751953125;1710.6103515625;1667.1019397845794;1855.9077068177214;1650;2064.817099541764;1.3468181565544177;1.0997150260390698;1.3581603765487671;1.3468181565544177
1170;1699.270751953125;1710.6103515625;1666.9890382143419;1860.6637328931595;1650;2064.817099541764;1.3379841572779108;1.0997150260390698;1.3581603765487671;1.3379841572779108
1180;1699.91650390625;1750.0811767578125;1667.4076006514085;1865.93897846663;1650;2064.817099541764;1.3317379205593816;1.0997150260390698;1.3144983053207398;1.3317379205593816
1190;1699.91650390625;1750.0811767578125;1667.8172191682538;1871.2767176662212;1650;2064.817099541764;1.3231957223391095;1.0997150260390698;1.3144983053207398;1.3231957223391095
1200;1699.91650390625;1750.0811767578125;1667.6608712487071;1876.9942364422159;1650;2064.817099541764;1.3126919397990304;1.0997150260390698;1.3144983053207398;1.3126919397990304
1210;1699.91650390625;1750.0811767578125;1667.6340784752792;1882.37787200034;1650;2089.817099541764;1.3052173678442582;1.05590216556867;1.3144983053207398;1.3052173678442582
1220;1700.5166015625;1770.7462158203125;1667.861826812989;1887.2691301278578;1650;2089.817099541764;1.2981873432860676;1.05590216556867;1.2872515916824341;1.2981873432860676
1230;1700.5166015625;1770.7462158203125;1668.1134763173327;1892.394311590708;1650;2089.817099541764;1.289239800131716;1.05590216556867;1.2872515916824341;1.289239800131716
1240;1700.5166015625;1770.7462158203125;1668.3378730546049;1898.1206074198367;1650;2089.817099541764;1.2785659236140068;1.05590216556867;1.2872515916824341;1.2785659236140068
